Time,Connectivity,Reachability
158.67,1,1.00
158.83,1,1.00
159.00,1,1.00
159.17,1,1.00
159.33,1,1.00
159.50,1,1.00
159.67,1,1.00
159.83,1,1.00
160.00,1,1.00
160.00,1,1.00
160.17,1,1.00
160.33,1,1.00
160.50,0,0.80
160.67,0,0.80
160.83,0,0.49
161.00,0,0.49
161.17,0,0.49
161.33,0,0.49
161.50,0,0.49
161.67,0,0.49
161.83,0,0.49
162.00,0,0.49
162.17,0,0.49
162.33,0,0.49
162.50,0,0.49
162.67,0,0.49
162.83,0,0.49
163.00,0,0.49
163.17,0,0.49
163.33,0,0.49
163.50,0,0.49
163.67,0,0.49
163.83,0,0.36
164.00,0,0.36
164.17,0,0.36
164.33,0,0.18
164.50,0,0.18
164.67,0,0.18
164.83,0,0.18
165.00,0,0.18
165.17,0,0.18
165.33,0,0.18
165.50,0,0.18
165.67,0,0.18
165.83,0,0.18
166.00,0,0.18
166.17,0,0.18
166.33,0,0.18
166.50,0,0.18
166.67,0,0.18
166.83,0,0.18
167.00,0,0.18
167.17,0,0.18
167.33,0,0.18
167.50,0,0.18
167.67,0,0.18
167.83,0,0.09
168.00,0,0.09
168.17,0,0.09
168.33,0,0.09
168.50,0,0.09
168.67,0,0.09
168.83,0,0.09
169.00,0,0.09
169.17,0,0.09
169.33,0,0.09
169.50,0,0.09
169.67,0,0.09
169.83,0,0.09
170.00,0,0.09
170.17,0,0.09
170.33,0,0.09
170.50,0,0.09
170.67,0,0.09
170.83,0,0.09
171.00,0,0.09
171.17,0,0.09
171.33,0,0.09
171.50,0,0.09
171.67,0,0.09
171.83,0,0.09
172.00,0,0.09
172.17,0,0.09
172.33,0,0.09
172.50,0,0.09
172.67,0,0.09
172.83,0,0.09
173.00,0,0.09
173.17,0,0.09
173.33,0,0.09
173.50,0,0.09
173.67,0,0.09
173.83,0,0.09
174.00,0,0.09
174.17,0,0.09
174.33,0,0.09
174.50,0,0.09
174.67,0,0.09
174.83,0,0.09
175.00,0,0.09
175.17,0,0.09
175.33,0,0.09
175.50,0,0.09
175.67,0,0.09
175.83,0,0.09
176.00,0,0.09
176.17,0,0.09
176.33,0,0.13
176.50,0,0.13
176.67,0,0.13
176.83,0,0.13
177.00,0,0.13
177.17,0,0.13
177.33,0,0.13
177.50,0,0.13
177.67,0,0.13
177.83,0,0.13
178.00,0,0.13
178.17,0,0.13
178.33,0,0.13
178.50,0,0.13
178.67,0,0.13
178.83,0,0.13
179.00,0,0.13
179.17,0,0.13
179.33,0,0.27
179.50,0,0.53
179.67,1,1.00
179.83,1,1.00
180.00,1,1.00
180.00,1,1.00
180.17,1,1.00
180.33,0,0.64
180.50,0,0.64
180.67,0,0.64
180.83,0,0.64
181.00,0,0.64
